Date,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Loan A: Principal Balance,Loan A: Interest,Loan B: Principal Balance,Loan B: Interest,Loan C: Principal Balance,Loan C: Interest,Loan D: Principal Balance,Loan D: Interest,Loan E: Principal Balance,Loan E: Interest,Tax Debt: Principal Balance,Tax Debt: Interest,Memo
2023-07-31,2023-07-31 00:00:00,2670.85,990.5,15503.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,
2023-08-01,2023-08-01 00:00:00,770.8499999999999,1120.5,14403.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,additional cc payment (while staying in santa cruz) ($1100.0) ; rent (santa cruz 8 months) ($800.0) ; gas and bus ($100.0) ; food ($30.0) ; 
2023-08-02,2023-08-02 00:00:00,770.8499999999999,1150.5,14403.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
